Dam Name,NID ID,Owner Types,Primary Owner Type,Number of Associated Structures,Primary Purpose,Latitude,Longitude,State,Distance to Nearest City (Miles),State Regulated Dam,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Inspection Frequency,Hazard Potential Classification,Condition Assessment,Inundation Maps Added to NID?
SCS-Boggy Creek Site-10,OK01098,State,State,0,Flood Risk Reduction,35.35523952,-99.02585324,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,36,33,36,36,25-50 feet,1100,0,1965,1960-1969,410,410,125,19,,2215,Controlled,1,5,Low,Not Rated,No
SCS-Sugar Creek Site-012,OK00518,State,State,0,Flood Risk Reduction,35.399838,-98.421721,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,34,30,34,34,25-50 feet,1090,0,1964,1960-1969,574,574,99,19,,2810,Controlled,1,5,Low,Not Rated,No
SCS-Finn Creek Site-008,OK00789,State,State,0,Flood Risk Reduction,34.980175,-97.486435,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,37,37,37,37,25-50 feet,1080,0,1964,1960-1969,488,488,131,19,,1235,Controlled,1,1,High,Fair,No
SCS-Turkey Creek Site-12,OK20564,State,State,0,Flood Risk Reduction,35.462838,-99.137713,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,41,37,41,41,25-50 feet,1080,0,1960,1960-1969,450,450,113,19,,4975,Controlled,1,1,High,Fair,No
SCS-Stillwater Creek Site-12,OK22076,State,State,0,Flood Risk Reduction,36.08856,-96.970182,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,30,30,30,30,25-50 feet,1075,0,1987,1980-1989,910,910,82,19,2.8,600,Controlled,1,5,Low,Not Rated,No
SCS-Cotton-Coon-Mission Cr Site-001,OK20538,State,State,0,Flood Risk Reduction,36.860025,-96.046546,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,48,43,48,48,25-50 feet,1074,0,1978,1970-1979,960,960,111,19,,2948,Controlled,1,5,Low,Not Rated,No
SCS-Owl Creek Site-03,OK00737,State,State,0,Flood Risk Reduction,34.88548145,-97.27986628,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,21,21,21,21,Less than 25 feet,1060,0,1950,1950-1959,398,398,61,19,,825,Controlled,1,5,Low,Not Rated,No
SCS-Little Washita River Site-08,OK20828,State,State,0,Flood Risk Reduction,34.872043,-97.964784,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,37,34,37,37,25-50 feet,1060,0,1980,1980-1989,491,491,112,19,,918,Controlled,1,1,High,Fair,No
SCS-Rush Creek Site-018,OK00156,State,State,0,Flood Risk Reduction,34.69896,-97.75364,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,46,42,46,46,25-50 feet,1050,0,1961,1960-1969,322,322,153,19,,1130,Controlled,1,5,Low,Not Rated,No
Gove Ranch Dam,TX07215,Private,Private,0,,30.5002,-97.161046,Texas,,No,No,No,Earth,Earth,,,24,24,24,24,Less than 25 feet,1048,0,2006,Since 2000,263,263,164,19,0.26,2444,Uncontrolled,75,,Low,Not Rated,No
Isom No 3,OK00061,Private,Private,0,Irrigation,33.94488876,-96.28142263,Oklahoma,5,Yes,No,No,Earth,Earth,Earth,Soil,20,18,20,20,Less than 25 feet,1040,0,1968,1960-1969,150,150,110,19,,438,Controlled,1,5,Low,Not Rated,No
Antelope,WY00390,Private,Private,0,Irrigation,41.358,-106.9944,Wyoming,16,Yes,No,No,Earth,Earth,Earth,Soil,16,11,16,16,Less than 25 feet,1030,11526,1940,1940-1949,187,187,82,19,0,0,Uncontrolled,10,5,Low,Fair,No
Snake Den Tank Dam,TX02362,Private,Private,0,"Fire Protection, Stock, Or Small Fish Pond",33.533167,-100.007164,Texas,,No,No,No,Earth,Earth,,,28,28,28,28,25-50 feet,1020,0,1960,1960-1969,370,370,248,19,1.5,0,Uncontrolled,43,,Low,Not Rated,No
Schlecht-Thom Dam,ND00301,Private,Private,0,Recreation,46.36352,-98.83041,North Dakota,0,Yes,No,No,Earth,Earth,Earth,Soil,31,,,31,25-50 feet,1020,18028,1968,1960-1969,284,284,160,19,2.95,,Uncontrolled,100,,Low,Not Rated,No
Jaycee Dam,KS00289,Private,Private,0,Recreation,37.74525552,-96.95739634,Kansas,4,No,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,14,14,15,15,Less than 25 feet,1020,14729,1958,1950-1959,188,188,36,19,3.83,,,29,,High,Satisfactory,No
Trophy Lake,MN01370,Private,Private,0,Recreation,45.66471,-95.39742,Minnesota,2,Yes,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,25,,27,27,25-50 feet,1000,15000,2000,Since 2000,226,226,121,19,1,5,Uncontrolled,10,8,Low,Satisfactory,No
Hawell Robert & Ann,OK10057,Private,Private,0,Other,34.62386648,-95.96741289,Oklahoma,2,Yes,No,No,Earth,Earth,Earth,Soil,25,22,25,25,25-50 feet,1000,0,1960,1960-1969,166,166,146,19,,775,Controlled,1,5,Low,Not Rated,No
SCS-Okfuskee Tributaries Site-W01,OK12084,State,State,0,Flood Risk Reduction,35.585457,-96.340188,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,43,43,43,43,25-50 feet,1000,0,1976,1970-1979,786,786,78,19,,775,Controlled,1,5,Low,Not Rated,No
Upper San Marcos River WS SCS Site 4,TX06329,Local Government,Local Government,0,Flood Risk Reduction,29.884868,-98.031862,Texas,1,Yes,No,Yes,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,99,100,101,101,Greater than 100 feet,977,274800,,Undetermined,8421,8421,183,19,20.2,60214,Uncontrolled,369,5,High,Satisfactory,No
SCS-Waterfall-Gilford Creek Site-05,OK12154,Private,Private,0,Flood Risk Reduction,33.842751,-94.840024,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,26,26,26,26,25-50 feet,975,0,1975,1970-1979,552,552,64,19,,675,Controlled,1,5,Low,Not Rated,No
Spokely Farms Dam,ND00407,Private,Private,0,Irrigation,47.52032,-96.87143,North Dakota,50,Yes,No,No,Earth,Earth,Earth,Soil,35,,,35,25-50 feet,970,0,1979,1970-1979,325.9,325.9,196,19,2.2,,Uncontrolled,200,,Low,Not Rated,No
SCS-Boggy Creek Site-19,OK01086,State,State,0,Flood Risk Reduction,35.39653985,-99.09726254,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,42,39,42,42,25-50 feet,920,0,1965,1960-1969,346,346,127,19,,2282,Controlled,1,5,Low,Not Rated,No
Cavanal,OK10428,Private,Private,0,Other,34.97807725,-94.70156232,Oklahoma,4,Yes,No,No,Earth,Earth,Earth,Soil,15,6,15,15,Less than 25 feet,900,0,1955,1950-1959,90,90,30,19,,,Controlled,1,5,Low,Not Rated,No
Harris Pond,RI04197,Private,Private,0,,41.46131133,-71.7559128,Rhode Island,0,Yes,No,No,,,,,5,4,5,5,Less than 25 feet,900,0,,Undetermined,3,3,2,19,1,,,12,5,Significant,Not Rated,No
Sooner Park Detention Pond,OK30259,Local Government,Local Government,0,Flood Risk Reduction,36.753086,-95.916913,Oklahoma,1,Yes,No,No,Earth,Earth,,Soil,19,19,23,23,Less than 25 feet,900,0,2010,Since 2000,113.8,113.8,3.5,19,4.03,2450,Controlled,1,3,Significant,Satisfactory,No
SCS-Okfuskee Tributaries Site-H03,OK12077,State,State,0,Flood Risk Reduction,35.53503263,-96.52034951,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,28,28,28,28,25-50 feet,900,0,1973,1970-1979,465,465,77,19,,360,Controlled,1,5,Low,Not Rated,No
Cha03,FL31504,Private,Private,0,Flood Risk Reduction,26.861969,-82.283088,Florida,14,Yes,No,No,Earth,Earth;Concrete,Concrete,,8,8,,8,Less than 25 feet,880,412,,Undetermined,412,412,50,19,,,Controlled,10,,Low,Poor,No
Thomas Site,KS09367,Local Government,Local Government,0,Flood Risk Reduction,37.78155838,-94.79142177,Kansas,3,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,41,38,45,45,25-50 feet,878,59000,2012,Since 2000,660,660,168,19,2.56,4200,Uncontrolled,100,,Low,,No
Lake Warrenton Dam,MO31523,Private,Private,0,Recreation,38.90659148,-91.13070742,Missouri,20,Yes,No,No,Earth,Earth,,,43,,43,43,25-50 feet,850,110000,1970,1970-1979,376,376,376,19,0.51,104,Uncontrolled,11,5,Low,Satisfactory,No
Soap Creek Watershed Site 68-80,IA04103,Local Government,Local Government,0,Flood Risk Reduction,40.9033,-92.7392,Iowa,27,Yes,No,Yes,Earth,Earth,Earth,Soil,41,,,41,25-50 feet,830,71097,2009,Since 2000,563,563,108,19,1.88,573,,40,,Low,Not Rated,No
Hirsig No. 3,WY01368,Private,Private,0,"Fire Protection, Stock, Or Small Fish Pond",41.574,-105.056,Wyoming,48,Yes,No,No,Earth,Earth,Earth,Soil,30,24,38,38,25-50 feet,820,41000,1975,1970-1979,253,253,19,19,5.4,979,Uncontrolled,82,5,Low,Fair,No
Mckinney Pond,LA00645,Private,Private,0,Recreation,32.90725,-93.8727,Louisiana,1,Yes,No,No,Earth,Earth,Earth,Soil,12,8,12,12,Less than 25 feet,810,9000,1939,1930-1939,114,114,76,19,0.44,897,Uncontrolled,60,5,Low,Fair,No
Sebastian Martin Bm 1 Dam,NM00438,Local Government,Local Government,0,Flood Risk Reduction,36.083046,-106.084799,New Mexico,,Yes,No,Yes,Earth,Earth,,Soil,48,,74,74,51-100 feet,800,0,1978,1970-1979,277,277,0,19,0.45,1890,Uncontrolled,150,3,High,Poor,No
Frd No 4,KS05451,Local Government,Local Government,0,Flood Risk Reduction,38.47928052,-96.79575829,Kansas,12,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,34,,,34,25-50 feet,800,88170,1988,1980-1989,1397,1397,74,19,4.27,1311,Uncontrolled,40,,Low,,No
Peabody Midwest/Vermilion Grove/Freshwater Lake Da,IL50506,Private,Private,0,Water Supply,39.94154,-87.66291,Illinois,4,Yes,No,No,Earth,Earth,Earth,Soil,29,,,29,25-50 feet,800,0,2001,Since 2000,206,206,115,19,0.54,720,Uncontrolled,30,5,Low,Not Available,No
SCS-Whitegrass-Waterhole Cr Site-4,OK02067,State,State,0,Flood Risk Reduction,33.91054883,-95.00294575,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,18,18,18,18,Less than 25 feet,800,0,1960,1960-1969,488,488,38,19,,900,Controlled,1,5,Low,Not Rated,No
Dd No 103,KS09056,Local Government,Local Government,0,Flood Risk Reduction,38.59799956,-96.32984764,Kansas,6,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,29,,,29,25-50 feet,780,53000,2002,Since 2000,732,732,42,19,2.76,677,Uncontrolled,70,,Low,,No
SCS-Barnitz Creek Site-021,OK00624,State,State,0,Flood Risk Reduction,35.7436447,-99.11773712,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,40,35,40,40,25-50 feet,780,0,1954,1950-1959,287,287,192,19,,2220,Controlled,1,5,Low,Not Rated,No
East Lake Dam,TX03754,Private,Private,0,Irrigation,30.699455,-94.420667,Texas,3,No,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,22,18,18,22,Less than 25 feet,770,0,1949,1940-1949,327,327,129,19,3.01,3885,Uncontrolled,164,,Significant,Not Rated,No
Smith Pond No 3,LA00295,Private,Private,0,Recreation,32.607,-93.241,Louisiana,2,Yes,No,No,Earth,Earth,Earth,Soil,20,15,20,20,Less than 25 feet,770,8500,1936,1930-1939,190,190,143,19,1,670,Uncontrolled,20,5,Low,Fair,No
Woody Creek Dam,MO10764,Private,Private,0,Recreation,38.78053808,-91.29945698,Missouri,4.6,Yes,No,No,Earth,Earth,,,64,,64,64,51-100 feet,760,330000,1965,1960-1969,396,396,347,19,0.16,2531,Uncontrolled,130,2,High,Satisfactory,No
Winter Haven Lake Dam,MO31192,Private,Private,0,Recreation,38.08716377,-90.57888937,Missouri,2,Yes,No,No,Earth,Earth,Earth,Rock;Soil,49,49,49,49,25-50 feet,730,80000,1978,1970-1979,301,301,224,19,0.34,1264,Uncontrolled,30,2,High,Satisfactory,No
SCS-Barnitz Creek Site-015a,OK00626,State,State,0,Flood Risk Reduction,35.833443,-98.994005,Oklahoma,,Yes,No,Yes,Earth,Earth,,,40,40,,40,25-50 feet,725,0,1958,1950-1959,596,596,138,19,1.3,1700,Controlled,1,3,Significant,Fair,No
Oknoname 033003,OK21253,Private,Private,0,Other,34.24736999,-98.16274468,Oklahoma,6,Yes,No,No,Earth,Earth,Earth,Soil,23,18,23,23,Less than 25 feet,721,0,1955,1950-1959,91,91,71,19,,1386,Controlled,1,5,Low,Not Rated,No
Klondike Lake Dam,MO30019,Private,Private,0,Recreation,38.58396233,-90.84122575,Missouri,5,Yes,No,No,Earth,Earth,,Rock;Soil,35,,50,50,51-100 feet,720,92900,1965,1960-1969,292,292,292,19,0.47,465,Uncontrolled,66,5,Low,Satisfactory,No
SCS-Lower Black Bear Creek Site-05,OK20643,State,State,0,Flood Risk Reduction,36.35138,-96.848946,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,40,36,40,40,25-50 feet,710,0,1976,1970-1979,757,757,86,19,,1900,Controlled,1,5,Low,Not Rated,No
Twin Basin,CO00829,Private,Private,0,Irrigation,39.082593,-108.044597,Colorado,8,Yes,No,No,Earth,Earth,Earth,Rock;Soil,17,14,17,17,Less than 25 feet,700,7800,1912,1910-1919,172,172,142,19,0,388,Uncontrolled,20,6,Low,Fair,No
Webb,OK21364,Private,Private,0,Other,33.98535947,-96.48675548,Oklahoma,,Yes,No,No,Earth,Earth,Earth,Soil,20,18,20,20,Less than 25 feet,700,0,1975,1970-1979,59,59,53,19,,347,Controlled,1,5,Low,Not Rated,No
SCS-Roaring Creek Site-002,OK00180,State,State,0,Flood Risk Reduction,34.864421,-97.769791,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,33,33,33,33,25-50 feet,700,0,1963,1960-1969,569,569,94,19,,1570,Controlled,1,5,Low,Not Rated,No
SCS-Big Kiowa Creek Site-6,OK01002,State,State,0,Flood Risk Reduction,35.580238,-99.469263,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,40,40,40,40,25-50 feet,700,0,1965,1960-1969,520,520,115,19,,1580,Controlled,1,5,Low,Not Rated,No
Herman Fritzler Ec #1,CO01830,Private,Private,0,Flood Risk Reduction,39.325003,-103.122225,Colorado,40,Yes,No,No,Earth,Earth,,,17,16,28,28,25-50 feet,690,16079,1974,1970-1979,173,173,78,19,1,3400,Uncontrolled,140,3,Low,Fair,No
Blake-Denton No. 2,WY01115,Private,Private,0,Irrigation,43.9695,-108.1415,Wyoming,14,Yes,No,No,Earth,Earth,Earth,Soil,13,8,13,13,Less than 25 feet,682,14800,1911,1910-1919,167,167,116,19,0,0,Uncontrolled,16,5,Low,Fair,No
Gillette Fishing Lake,WY01001,State,State,0,Fish and Wildlife Pond,44.2675,-105.485278,Wyoming,65,Yes,No,No,Earth,Earth,Earth,Soil,15,10,15,15,Less than 25 feet,665,5502,1962,1960-1969,205,205,94,19,0,0,Uncontrolled,200,5,Low,Poor,No
Twin Lakes Dam,LA00671,Private,Private,0,Recreation,32.0147,-92.1264,Louisiana,1,Yes,No,No,Earth,Earth,Earth,Soil,25,22,25,25,25-50 feet,660,26600,,Undetermined,238,238,209,19,0.07,1518,Uncontrolled,70,3,Significant,Fair,No
Gsd No B-53 (Gc 18),KS05469,Local Government,Local Government,0,Flood Risk Reduction,39.50077302,-95.4895031,Kansas,11,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,40,,,40,25-50 feet,660,43100,1988,1980-1989,613,613,98,19,1.51,1306,Uncontrolled,40,,Low,,No
B J  Andrews Pond,LA00547,Private,Private,0,Recreation,32.074,-93.8153,Louisiana,0.75,Yes,No,No,Earth,Earth,Earth,Soil,15,11,17,17,Less than 25 feet,655,18600,1982,1980-1989,143,143,105,19,0.6,1200,Uncontrolled,75,5,Low,Fair,No
Pevey Summer Lake Dam,LA00603,Private,Private,0,Recreation,32.2872,-93.9256,Louisiana,2,Yes,No,No,Earth,Earth,Earth,Soil,17,15,19,19,Less than 25 feet,650,14090,1970,1970-1979,162,162,143,19,0.6,1125,Uncontrolled,130,5,Low,Fair,No
Mcclain Mw,OK10716,Private,Private,0,Other,35.64008114,-97.86895195,Oklahoma,,Yes,No,No,Earth,Earth,Earth,Soil,28,28,28,28,25-50 feet,650,0,1960,1960-1969,200,200,130,19,,1500,Controlled,1,5,Low,Not Rated,No
Enright Kenneth,OK12247,Private,Private,0,Other,36.93932333,-99.47286541,Oklahoma,,Yes,No,No,Earth,Earth,Earth,Soil,20,20,20,20,Less than 25 feet,640,0,1952,1950-1959,440,440,220,19,,900,Controlled,2,5,Low,Not Rated,No
High Pine Creek W/S Dam Site 10,AL00845,Private,Private,0,Flood Risk Reduction,33.12,-85.4236,Alabama,,No,No,Yes,Earth,Earth,Earth,Soil,37,37,37,37,25-50 feet,630,66000,1962,1960-1969,761,761,87,19,2.7,400,Uncontrolled,50,5,Low,Not Rated,No
Blomberg Farm Dam,MO12411,Private,Private,0,,39.85467625,-92.50623372,Missouri,,Yes,No,No,Earth,Earth,,Soil,43,,42,43,25-50 feet,628,83000,1998,1990-1999,302,302,252,19,0.11,122,Uncontrolled,8,5,High,Satisfactory,No
Coblentz,OK10675,Private,Private,0,Other,35.08192294,-95.32687925,Oklahoma,5,Yes,No,No,Gravity,Gravity,,,30,27,30,30,25-50 feet,600,0,1932,1930-1939,248,248,223,19,,1395,Controlled,2,5,Low,Not Rated,No
Xit No.10,OK00127,Private,Private,0,Other,36.99315363,-100.4666505,Oklahoma,,Yes,No,No,Earth,Earth,Earth,Soil,25,25,25,25,25-50 feet,600,0,1955,1950-1959,150,150,70,19,,4910,Controlled,1,5,Low,Not Rated,No
Grassy Creek Watershed Dam G- 29,MO50870,Local Government,Local Government,0,Flood Risk Reduction,40.07815888,-91.84133477,Missouri,,No,No,Yes,Earth,Earth,Earth,Soil,24,23,37,37,25-50 feet,600,19133,1998,1990-1999,70,70,19,19,108.8,114,Uncontrolled,20,1,Low,Not Rated,No
Young Lake Dam,MO20587,Private,Private,0,Fish and Wildlife Pond,38.68220976,-94.22583519,Missouri,,No,No,No,Earth,Earth,Earth,Soil,25,25,25,25,25-50 feet,600,21777,1976,1970-1979,167,167,167,19,645,398,Uncontrolled,36,0,Low,Not Rated,No
South Fork Blackwater River Dam E- 7,MO50238,Local Government,Local Government,0,Flood Risk Reduction,38.76198575,-93.94792527,Missouri,,No,No,Yes,Earth,Earth,Earth,Soil,34,34,36,36,25-50 feet,600,49164,1979,1970-1979,340,340,42,19,320,363,Uncontrolled,30,0,Low,Not Rated,No
Wildcat No. 1,WY00730,Private,Private,0,Irrigation,43.133611,-104.628333,Wyoming,54,Yes,No,No,Earth,Earth,Earth,Soil,40,35,40,40,25-50 feet,588,37000,1953,1950-1959,327,327,215,19,,,Uncontrolled,200,5,Low,Fair,No
Challis,WY01590,Private,Private,0,Irrigation,44.9594,-104.1897,Wyoming,6,Yes,No,No,Earth,Earth,Earth,Soil,24,19,24,24,Less than 25 feet,580,27840,1914,1910-1919,267,267,172,19,0,0,Uncontrolled,30,5,Low,Fair,No
Webster Glenn,OK10740,Private,Private,0,Other,36.87099368,-95.72156979,Oklahoma,8,Yes,No,No,Earth,Earth,Earth,Soil,24,21,24,24,Less than 25 feet,570,0,1968,1960-1969,154,154,90,19,,1200,Controlled,1,5,Low,Not Rated,No
Thoman,WY01205,Private,Private,0,Irrigation,41.834444,-110.910833,Wyoming,21,Yes,No,No,Earth,Earth,Earth,Soil,25,20,25,25,25-50 feet,560,12000,1945,1940-1949,140,140,98,19,0,0,Uncontrolled,50,5,Low,Poor,No
Martin Family Dam,IL50665,Private,Private,0,Recreation,38.21561,-88.87721,Illinois,0,Yes,No,No,Earth,Earth,Earth,Soil,21,,,21,Less than 25 feet,550,0,,Undetermined,168,168,102,19,0.4,,Uncontrolled,10,5,Low,Not Available,No
Troublesome Creek Watershed Dam T- 42,MO50923,Local Government,Local Government,0,Flood Risk Reduction,40.14615427,-92.05715528,Missouri,,No,No,Yes,Earth,Earth,Earth,Soil,21,21,29,29,25-50 feet,548,15854,1992,1990-1999,156,156,31,19,421,116.2,Uncontrolled,20,1,Low,Not Rated,No
Stegner Dam; William 4,ND00766,Private,Private,0,"Fire Protection, Stock, Or Small Fish Pond",46.2928,-103.58469,North Dakota,0,Yes,No,No,Earth,Earth,Earth,Soil,22,,,22,Less than 25 feet,545,18925,1973,1970-1979,169,169,112,19,2.22,,Uncontrolled,65,,Low,Not Rated,No
Randall Dupree Pond Dam,LA00536,Private,Private,0,Recreation,32.149,-93.245,Louisiana,4,Yes,No,No,Earth,Earth,Earth,Soil,20,14,20,20,Less than 25 feet,544,16200,1964,1960-1969,190,190,133,19,0.3,510,Controlled,60,5,Low,Fair,No
Lake Konstanz Dam,MO32048,Private,Private,0,,38.76246,-91.07415,Missouri,0,Yes,No,No,Earth,Earth,,,90,,90,90,51-100 feet,525,88000,1999,1990-1999,103,103,86,19,0.14,47,Uncontrolled,4,3,High,Satisfactory,No
Unity #1 Dam,MO20039,Private,Private,0,Water Supply,38.94865784,-94.39638285,Missouri,0,Yes,No,No,Buttress,Buttress,Concrete,Rock,48,,48,48,25-50 feet,525,10000,1927,1920-1929,285,285,218,19,0.64,3900,Uncontrolled,124,2,High,Satisfactory,No
Kitson,CO01687,Private,Private,0,Irrigation,39.08001,-107.953904,Colorado,9,Yes,No,No,Earth,Earth,Earth,Rock;Soil,18,18,20,20,Less than 25 feet,510,10320,1911,1910-1919,254,254,204,19,0,206,Uncontrolled,12,1,High,Fair,No
Hidden Valley Lake Dam,IL00671,Private,Private,0,Recreation,42.03572,-89.14262,Illinois,7,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,16,,,16,Less than 25 feet,505,0,1968,1960-1969,256,256,40,19,2.5,2116,Uncontrolled,95,5,Significant,Not Available,No
Hoover Frankum E-20,MO10156,Local Government,Local Government,0,"Fire Protection, Stock, Or Small Fish Pond",40.38555556,-95.13666666,Missouri,4,Yes,No,Yes,Earth,Earth,Earth,Soil,48,,48,48,25-50 feet,500,150000,1960,1960-1969,560,560,149,19,0.64,445,Uncontrolled,40,5,Low,Satisfactory,No
Seven Lakes Addition Dam,MI00448,State,State,0,Recreation,42.816731,-83.670075,Michigan,20,Yes,No,No,Earth,Earth,,,26,22,26,26,25-50 feet,500,0,1970,1970-1979,335,335,240,19,0.26,60,Uncontrolled,8,5,Low,Satisfactory,No
Ford Dam,MI00129,Private,Private,0,Recreation,46.64461498,-88.47911425,Michigan,0,Yes,No,No,Earth,Earth,,,26,26,26,26,25-50 feet,500,0,1936,1930-1939,1500,1500,340,19,1.8,,Uncontrolled,4,3,High,Satisfactory,No
Troublesome Creek Watershed Dam S- 84,MO50919,Local Government,Local Government,0,Flood Risk Reduction,39.95943845,-91.76781487,Missouri,,No,No,Yes,Earth,Earth,Earth,Soil,26,25,29,29,25-50 feet,500,22050,1994,1990-1999,154,154,40,19,100,294,Uncontrolled,40,1,Low,Not Rated,No
Apache Springs Dam,TX02455,Private,Private,0,Recreation,30.161649,-99.345425,Texas,9,Yes,No,No,Earth,Earth,Concrete,Soil,25,25,25,25,25-50 feet,494,0,1941,1940-1949,195,195,188,19,8.5,17500,Uncontrolled,80,5,High,Satisfactory,No
Daisy Falls,AL02444,Private,Private,0,Fish and Wildlife Pond,32.45,-88.1,Alabama,,No,No,No,Earth,Earth,,,18,,,18,Less than 25 feet,490,9336,1992,1990-1999,181,181,116,19,0.14,190,Uncontrolled,24,0,Low,Not Rated,No
Woodridge Lake Dam,MO11005,Private,Private,0,Recreation,38.78248284,-91.16158911,Missouri,1,Yes,No,No,Earth,Earth,,,64,,64,64,51-100 feet,485,140000,1975,1970-1979,778,778,581,19,0.67,3158,Uncontrolled,74,2,High,Satisfactory,No
Wells Family Pond,LA00634,Private,Private,0,Recreation,31.82685,-93.40689,Louisiana,4,Yes,No,No,Earth,Earth,Earth,Soil,21,19,21,21,Less than 25 feet,460,16000,2004,Since 2000,200,200,181,19,0.11,220,Uncontrolled,25,5,Low,Fair,No
Mckelvie #1,CO01039,Private,Private,0,Irrigation,39.211678,-107.752226,Colorado,11,Yes,No,No,Earth,Earth,Earth,Rock;Soil,32,32,36,36,25-50 feet,450,23147,1911,1910-1919,357,357,291,19,0,400,Uncontrolled,25,6,Low,Not Rated,No
Fuller Dam,LA00356,Private,Private,0,Recreation,32.8717,-93.875,Louisiana,4,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,16,16,19,19,Less than 25 feet,450,6664,1952,1950-1959,120,120,78,19,0.16,578,Uncontrolled,65,5,Low,Satisfactory,No
Jgw Pond,LA00296,Private,Private,0,Water Supply,32.4583,-93.3853,Louisiana,5.5,Yes,No,No,Earth,Earth,Earth;Unlisted/Unknown,Soil,10,10,13,13,Less than 25 feet,450,4500,1936,1930-1939,124,124,85,19,0.16,772,Controlled,50,5,Low,Fair,No
White Pine Mine North Tailings Dam #1,MI00702,Private,Private,0,Tailings,46.77833333,-89.55333333,Michigan,4,Yes,No,No,Earth,Earth,,,30,30,30,30,25-50 feet,450,0,1970,1970-1979,255,255,229,19,9,200,Uncontrolled,16,5,Low,Satisfactory,No
West Fork Big Creek Dam B-131,MO50079,Local Government,Local Government,0,Flood Risk Reduction,40.25721994,-94.09692584,Missouri,,No,No,Yes,Earth,Earth,Earth,Soil,34,34,34,34,25-50 feet,450,21810,1991,1990-1999,90,90,28,19,82,181,Uncontrolled,78,0,Low,Not Rated,No
Tabo Creek Watershed Dam B-28,MO12142,Local Government,Local Government,0,Grade Stabilization,39.05938842,-93.84202094,Missouri,,No,No,Yes,Earth,Earth,Earth,Soil,27,27,29,29,25-50 feet,445,15182,1963,1960-1969,110,110,30,19,300.8,1327,Uncontrolled,80,0,Low,Not Rated,No
Lake Thunderbird Upper Dam,MO10988,Private,Private,0,Recreation,38.802427,-91.809235,Missouri,16,Yes,No,No,Earth,Earth,,,49,,49,49,25-50 feet,430,20000,1967,1960-1969,465,465,465,19,1,165,Uncontrolled,2,2,Significant,Satisfactory,No
Cimarex Earthen Dam,OK30394,Private,Private,0,Recreation,35.637139,-98.262172,Oklahoma,4.8,Yes,No,No,Earth,Earth,,,30,25,30,30,25-50 feet,427,0,2011,Since 2000,338.91,338.91,126.79,19,0.06,717.38,Controlled,12,3,Significant,Satisfactory,No
Cedar Isle,OK11115,Private,Private,0,Flood Risk Reduction,36.092253,-97.106233,Oklahoma,0,Yes,No,No,Earth,Earth,Earth,Soil,19,14,19,19,Less than 25 feet,425,0,1950,1950-1959,99,99,35,19,0.31,2356,Controlled,1,1,High,Fair,Yes
Green Oak Lake Dam,MI00736,Private,Private,0,Recreation,42.33166667,-83.82,Michigan,0,Yes,No,No,Earth,Earth,,,20,20,20,20,Less than 25 feet,425,0,1960,1960-1969,200,200,80,19,7.6,625,Controlled,6,5,Low,Satisfactory,No
